Timestamp,true value,strategy1
12/23/2018 14:00,1.0,0.0
12/23/2018 15:00,1.0,0.0
12/23/2018 16:00,1.0,0.0
12/23/2018 17:00,1.0,0.0
12/23/2018 18:00,1.0,0.0
12/23/2018 19:00,1.0,0.0
12/23/2018 20:00,1.0,0.0
12/23/2018 21:00,1.0,0.0
12/23/2018 22:00,1.0,0.0
12/23/2018 23:00,1.0,0.0
12/24/2018 0:00,1.0,0.0
12/24/2018 1:00,0.541577825,0.0
12/24/2018 2:00,0.611683849,0.0
12/24/2018 3:00,0.665803109,0.0
12/24/2018 4:00,0.633187773,0.0
12/24/2018 5:00,0.902777778,0.0
12/24/2018 6:00,0.741200828,0.0
12/24/2018 7:00,0.656097561,0.0
12/24/2018 8:00,0.575528701,0.0
12/24/2018 9:00,0.522588523,0.0
12/24/2018 10:00,0.508515815,0.0
12/24/2018 11:00,0.813953488,0.0
12/24/2018 12:00,0.551083591,0.0
12/24/2018 13:00,1.0,0.0
12/24/2018 14:00,1.0,0.0
12/24/2018 15:00,1.0,0.0
12/24/2018 16:00,1.0,0.0
12/24/2018 17:00,1.0,0.0
12/24/2018 18:00,1.0,0.0
12/24/2018 19:00,1.0,0.0
12/24/2018 20:00,1.0,0.0
12/24/2018 21:00,1.0,0.0
12/24/2018 22:00,1.0,0.0
12/24/2018 23:00,1.0,0.0
12/25/2018 0:00,1.0,0.0
12/25/2018 1:00,0.653061224,0.0
12/25/2018 2:00,0.633333333,0.0
12/25/2018 3:00,0.652892562,0.0
12/25/2018 4:00,0.689922481,0.0
12/25/2018 5:00,0.662162162,0.0
12/25/2018 6:00,0.560190703,0.0
12/25/2018 7:00,0.520112254,0.0
12/25/2018 8:00,0.514525994,0.0
12/25/2018 9:00,0.559121622,0.0
12/25/2018 10:00,0.907625272,0.0
12/25/2018 11:00,0.476635514,0.0
12/25/2018 12:00,0.561904762,0.0
12/25/2018 13:00,1.0,0.0
12/25/2018 14:00,1.0,0.0
12/25/2018 15:00,1.0,0.0
12/25/2018 16:00,1.0,0.0
12/25/2018 17:00,1.0,0.0
12/25/2018 18:00,1.0,0.0
12/25/2018 19:00,1.0,0.0
12/25/2018 20:00,1.0,0.0
12/25/2018 21:00,1.0,0.0
12/25/2018 22:00,1.0,0.0
12/25/2018 23:00,1.0,0.0
12/26/2018 0:00,1.0,0.0
12/26/2018 1:00,0.544910993,0.0
12/26/2018 2:00,0.54269326,0.0
12/26/2018 3:00,0.629550321,0.0
12/26/2018 4:00,0.615835777,0.0
12/26/2018 5:00,0.557598039,0.0
12/26/2018 6:00,0.588957055,0.0
12/26/2018 7:00,0.608537693,0.0
12/26/2018 8:00,0.610638298,0.0
