,Timestamp,true value
1155,12/24/2018 6:00,0.741200828
1156,12/24/2018 7:00,0.656097561
1157,12/24/2018 8:00,0.575528701
1158,12/24/2018 9:00,0.522588523
1159,12/24/2018 10:00,0.508515815
1160,12/24/2018 11:00,0.813953488
1161,12/24/2018 12:00,0.551083591
1162,12/24/2018 13:00,1
1163,12/24/2018 14:00,1
1164,12/24/2018 15:00,1
1165,12/24/2018 16:00,1
1166,12/24/2018 17:00,1
1167,12/24/2018 18:00,1
1168,12/24/2018 19:00,1
1169,12/24/2018 20:00,1
1170,12/24/2018 21:00,1
1171,12/24/2018 22:00,1
1172,12/24/2018 23:00,1
1173,12/25/2018 0:00,1
1174,12/25/2018 1:00,0.653061224
1175,12/25/2018 2:00,0.633333333
1176,12/25/2018 3:00,0.652892562
1177,12/25/2018 4:00,0.689922481
1178,12/25/2018 5:00,0.662162162
1179,12/25/2018 6:00,0.560190703
1180,12/25/2018 7:00,0.520112254
1181,12/25/2018 8:00,0.514525994
1182,12/25/2018 9:00,0.559121622
1183,12/25/2018 10:00,0.907625272
1184,12/25/2018 11:00,0.476635514
1185,12/25/2018 12:00,0.561904762
1186,12/25/2018 13:00,1
1187,12/25/2018 14:00,1
1188,12/25/2018 15:00,1
1189,12/25/2018 16:00,1
1190,12/25/2018 17:00,1
1191,12/25/2018 18:00,1
1192,12/25/2018 19:00,1
1193,12/25/2018 20:00,1
1194,12/25/2018 21:00,1
1195,12/25/2018 22:00,1
1196,12/25/2018 23:00,1
1197,12/26/2018 0:00,1
1198,12/26/2018 1:00,0.544910993
1199,12/26/2018 2:00,0.54269326
1200,12/26/2018 3:00,0.629550321
1201,12/26/2018 4:00,0.615835777
1202,12/26/2018 5:00,0.557598039
1203,12/26/2018 6:00,0.588957055
1204,12/26/2018 7:00,0.608537693
1205,12/26/2018 8:00,0.610638298
1206,12/26/2018 9:00,0.622119816
1207,12/26/2018 10:00,0.487804878
1208,12/26/2018 11:00,0.492366412
1209,12/26/2018 12:00,0.34079602
1210,12/26/2018 13:00,1
1211,12/26/2018 14:00,1
1212,12/26/2018 15:00,1
1213,12/26/2018 16:00,1
1214,12/26/2018 17:00,1
1215,12/26/2018 18:00,1
1216,12/26/2018 19:00,1
1217,12/26/2018 20:00,1
1218,12/26/2018 21:00,1
1219,12/26/2018 22:00,1
1220,12/26/2018 23:00,1
1221,12/27/2018 0:00,1
1222,12/27/2018 1:00,0.733850129
1223,12/27/2018 2:00,0.699186992
1224,12/27/2018 3:00,0.612704918
1225,12/27/2018 4:00,0.63902439
1226,12/27/2018 5:00,0.827338129
1227,12/27/2018 6:00,0.793220339
1228,12/27/2018 7:00,0.683804627
1229,12/27/2018 8:00,0.589595376
1230,12/27/2018 9:00,0.488888889
1231,12/27/2018 10:00,0.423580786
1232,12/27/2018 11:00,0.328571429
1233,12/27/2018 12:00,0.376012966
1234,12/27/2018 13:00,1
1235,12/27/2018 14:00,1
1236,12/27/2018 15:00,1
1237,12/27/2018 16:00,1
1238,12/27/2018 17:00,1
1239,12/27/2018 18:00,1
1240,12/27/2018 19:00,1
1241,12/27/2018 20:00,1
1242,12/27/2018 21:00,1
1243,12/27/2018 22:00,1
1244,12/27/2018 23:00,1
1245,12/28/2018 0:00,1
1246,12/28/2018 1:00,0.652777778
1247,12/28/2018 2:00,0.600885515
1248,12/28/2018 3:00,0.594216867
1249,12/28/2018 4:00,0.609375
1250,12/28/2018 5:00,0.597468354
1251,12/28/2018 6:00,0.600401606
1252,12/28/2018 7:00,0.571633238
1253,12/28/2018 8:00,0.592300099
1254,12/28/2018 9:00,0.591522158
1255,12/28/2018 10:00,0.632075472
1256,12/28/2018 11:00,0.471428571
1257,12/28/2018 12:00,0.3828125
1258,12/28/2018 13:00,1
1259,12/28/2018 14:00,1
1260,12/28/2018 15:00,1
1261,12/28/2018 16:00,1
1262,12/28/2018 17:00,1
1263,12/28/2018 18:00,1
1264,12/28/2018 19:00,1
1265,12/28/2018 20:00,1
1266,12/28/2018 21:00,1
1267,12/28/2018 22:00,1
1268,12/28/2018 23:00,1
1269,12/29/2018 0:00,1
1270,12/29/2018 1:00,0.583333333
1271,12/29/2018 2:00,0.691275168
1272,12/29/2018 3:00,0.617391304
1273,12/29/2018 4:00,0.682634731
1274,12/29/2018 5:00,0.637860082
1275,12/29/2018 6:00,0.673076923
1276,12/29/2018 7:00,0.772727273
1277,12/29/2018 8:00,0.529069767
1278,12/29/2018 9:00,0.486935867
1279,12/29/2018 10:00,0.599406528
1280,12/29/2018 11:00,0.560416667
1281,12/29/2018 12:00,0.233576642
1282,12/29/2018 13:00,1
1283,12/29/2018 14:00,1
1284,12/29/2018 15:00,1
1285,12/29/2018 16:00,1
1286,12/29/2018 17:00,1
1287,12/29/2018 18:00,1
1288,12/29/2018 19:00,1
1289,12/29/2018 20:00,1
1290,12/29/2018 21:00,1
1291,12/29/2018 22:00,1
1292,12/29/2018 23:00,1
1293,12/30/2018 0:00,1
1294,12/30/2018 1:00,0.632996633
1295,12/30/2018 2:00,0.603174603
1296,12/30/2018 3:00,0.608695652
1297,12/30/2018 4:00,0.708955224
1298,12/30/2018 5:00,0.656084656
1299,12/30/2018 6:00,0.655172414
1300,12/30/2018 7:00,0.651785714
1301,12/30/2018 8:00,0.682926829
1302,12/30/2018 9:00,0.581081081
1303,12/30/2018 10:00,0.431421446
1304,12/30/2018 11:00,0.274223035
1305,12/30/2018 12:00,0.525773196
1306,12/30/2018 13:00,1
1307,12/30/2018 14:00,1
1308,12/30/2018 15:00,1
1309,12/30/2018 16:00,1
1310,12/30/2018 17:00,1
1311,12/30/2018 18:00,1
1312,12/30/2018 19:00,1
1313,12/30/2018 20:00,1
1314,12/30/2018 21:00,1
1315,12/30/2018 22:00,1
1316,12/30/2018 23:00,1
1317,12/31/2018 0:00,1
1318,12/31/2018 1:00,0.856423174
1319,12/31/2018 2:00,0.645933014
1320,12/31/2018 3:00,0.703703704
1321,12/31/2018 4:00,0.888888889
1322,12/31/2018 5:00,0.735294118
1323,12/31/2018 6:00,0.979591837
1324,12/31/2018 7:00,0.659574468
1325,12/31/2018 8:00,0.530864198
1326,12/31/2018 9:00,0.311111111
1327,12/31/2018 10:00,0.583892617
1328,12/31/2018 11:00,0.389534884
1329,12/31/2018 12:00,0.580786026
1330,12/31/2018 13:00,1
1331,12/31/2018 14:00,1
1332,12/31/2018 15:00,1
1333,12/31/2018 16:00,1
1334,12/31/2018 17:00,1
1335,12/31/2018 18:00,1
1336,12/31/2018 19:00,1
1337,12/31/2018 20:00,1
1338,12/31/2018 21:00,1
1339,12/31/2018 22:00,1
1340,12/31/2018 23:00,1
1341,1/1/2019 0:00,1
1342,1/1/2019 1:00,0.631097561
1343,1/1/2019 2:00,0.57267951
1344,1/1/2019 3:00,0.628358209
1345,1/1/2019 4:00,0.627615063
1346,1/1/2019 5:00,1
1347,1/1/2019 6:00,0.67844523
1348,1/1/2019 7:00,0.601969058
1349,1/1/2019 8:00,0.546728972
1350,1/1/2019 9:00,0.489208633
1351,1/1/2019 10:00,0.883005978
1352,1/1/2019 11:00,0.417098446
1353,1/1/2019 12:00,0.356321839
1354,1/1/2019 13:00,1
1355,1/1/2019 14:00,1
1356,1/1/2019 15:00,1
1357,1/1/2019 16:00,1
1358,1/1/2019 17:00,1
1359,1/1/2019 18:00,1
1360,1/1/2019 19:00,1
1361,1/1/2019 20:00,1
1362,1/1/2019 21:00,1
1363,1/1/2019 22:00,1
1364,1/1/2019 23:00,1
1365,1/2/2019 0:00,1
1366,1/2/2019 1:00,0.615023474
1367,1/2/2019 2:00,0.638629283
1368,1/2/2019 3:00,0.569744597
1369,1/2/2019 4:00,0.636363636
1370,1/2/2019 5:00,0.634375
1371,1/2/2019 6:00,0.653775322
1372,1/2/2019 7:00,0.598920863
1373,1/2/2019 8:00,0.584725537
1374,1/2/2019 9:00,0.552710843
1375,1/2/2019 10:00,0.389645777
1376,1/2/2019 11:00,0.292565947
1377,1/2/2019 12:00,0.306976744
1378,1/2/2019 13:00,1
1379,1/2/2019 14:00,1
1380,1/2/2019 15:00,1
1381,1/2/2019 16:00,1
1382,1/2/2019 17:00,1
1383,1/2/2019 18:00,1
1384,1/2/2019 19:00,1
1385,1/2/2019 20:00,1
1386,1/2/2019 21:00,1
1387,1/2/2019 22:00,1
1388,1/2/2019 23:00,1
1389,1/3/2019 0:00,1
1390,1/3/2019 1:00,0.534482759
1391,1/3/2019 2:00,0.823529412
1392,1/3/2019 3:00,0.737967914
1393,1/3/2019 4:00,0.685185185
1394,1/3/2019 5:00,0.690987124
1395,1/3/2019 6:00,0.649484536
1396,1/3/2019 7:00,0.584319527
1397,1/3/2019 8:00,0.537744641
1398,1/3/2019 9:00,0.577777778
1399,1/3/2019 10:00,0.428169014
1400,1/3/2019 11:00,0.473829201
1401,1/3/2019 12:00,0.570422535
1402,1/3/2019 13:00,1
1403,1/3/2019 14:00,1
1404,1/3/2019 15:00,1
1405,1/3/2019 16:00,1
1406,1/3/2019 17:00,1
1407,1/3/2019 18:00,1
1408,1/3/2019 19:00,1
1409,1/3/2019 20:00,1
1410,1/3/2019 21:00,1
1411,1/3/2019 22:00,1
1412,1/3/2019 23:00,1
1413,1/4/2019 0:00,1
1414,1/4/2019 1:00,0.655367232
1415,1/4/2019 2:00,0.621134021
1416,1/4/2019 3:00,0.74796748
1417,1/4/2019 4:00,0.53875969
1418,1/4/2019 5:00,0.573839662
1419,1/4/2019 6:00,0.590994371
1420,1/4/2019 7:00,0.515151515
1421,1/4/2019 8:00,0.415005862
1422,1/4/2019 9:00,0.544559869
1423,1/4/2019 10:00,0.438783895
1424,1/4/2019 11:00,0.302955665
1425,1/4/2019 12:00,0.218390805
1426,1/4/2019 13:00,1
