truth_value,adarel,sarima,SVR,Gaussian
1,0,0,0,0
1,0,0,0,0
0.98630137,0,0,0,0
1,0,0,0,0
0.991869919,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.5,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.916666667,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.896341463,0,0,0,0
0.956,0,0,0,0
1,0,0,0,0
0.999625328,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.993630573,0,0,0,0
0.991596639,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.93877551,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.998387097,0,0,0,0
0.996984925,0,0,0,0
0.958646617,0,0,0,0
0.993288591,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.993975904,0,0,0,0
0.991735537,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.979166667,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.134529148,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.983333333,0,0,0,0
0.996784566,0,0,0,0
0.986842105,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.981481481,0,0,0,0
0.987730061,0,0,0,0
0.902173913,0,0,0,0
0.994535519,0,0,0,0
0.986486486,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.994680851,0,0,0,0
0.175438596,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.96,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.982222222,0,0,0,0
0.993103448,0,0,0,0
0.982758621,0,0,0,0
0.985074627,0,0,0,0
