truth_values,gaussian,adarel,sarima,svr
0.69127517,0.59247791,0.621405439,0.63072942,0.661783079
0.6173913,0.512389808,0.589721848,0.59394255,0.790537618
0.68263473,0.512281508,0.668622962,0.6645209,0.857161363
0.63786008,0.512195132,0.685168322,0.65838389,0.72165479
0.67307692,0.550577986,0.652451568,0.62702576,0.716552719
0.77272727,0.645799499,0.682949124,0.67304553,0.736994403
0.52906977,0.594450371,0.693783654,0.63128778,0.608366904
0.48693587,0.538869339,0.727683101,0.63621991,0.586386382
0.59940653,0.560734742,0.702552574,0.61020007,0.628100092
0.56041667,0.557847536,0.609212912,0.53897801,0.689693205
0.23357664,0.384170471,0.96496309,0.88113812,0.253917386
1,0.661978428,0.971587393,0.97105887,1
1,0.861537539,0.976746568,0.99278625,1
1,0.991433699,0.980853784,0.99820986,0.910904339
1,1,0.984181122,0.9995564,0.766804692
1,1,0.986939303,0.99988527,0.890622144
1,1,0.989319358,0.99995928,0.919765238
1,1,0.991189673,0.99997621,0.910828987
1,1,0.992649241,0.99998594,0.876992895
1,0.982955815,0.994161785,0.99999506,0.869417324
1,0.947642132,0.995524495,1,0.877037342
1,0.920620805,0.996436334,1,0.883914624
1,0.903868966,0.599277037,0.58284084,0.887654433
0.63299663,0.706338627,0.603335837,0.6156553,0.610592087
0.6031746,0.559802327,0.615217854,0.60368562,0.582378774
0.60869565,0.478314227,0.589011371,0.59660514,0.629890273
0.70895522,0.497406294,0.670430315,0.67331011,0.703661123
0.65608466,0.508840264,0.68739926,0.65545012,0.759137839
0.65517241,0.538025208,0.650840522,0.62653022,0.785429084
0.65178571,0.573858686,0.646943448,0.60879987,0.767663098
0.68292683,0.626813288,0.703745307,0.64508206,0.77962143
0.58108108,0.616277142,0.707537047,0.67224804,0.693684662
0.43142145,0.531071351,0.709106057,0.54273184,0.557704945
0.27422304,0.388165808,0.647295677,0.39031075,0.414845014
0.5257732,0.420281941,0.976562135,0.96804032,0.533144457
1,0.69637399,0.980953921,0.99226551,1
1,0.89235108,0.984393319,0.99808473,1
1,1,0.987133766,0.99949144,1
1,1,0.989378257,0.99988367,0.898566962
1,1,0.991705198,0.99997981,0.834970358
1,1,0.993301312,0.99999502,0.877193676
1,1,0.994582225,0.99999639,0.888614546
1,1,0.995637447,0.99999826,0.8870139
1,0.977015753,0.996482794,0.99999867,0.881489762
1,0.940439458,0.997163081,0.99999771,0.88010786
1,0.913249645,0.997746159,0.9999983,0.883333611
1,0.897128776,0.610619217,0.58844813,0.886528465
0.85642317,0.817291998,0.649900197,0.69264234,0.864598413
0.64593301,0.660106746,0.65833552,0.63231254,0.704687122
0.7037037,0.592930559,0.648490444,0.65336778,0.707462139
0.88888889,0.661946911,0.754981528,0.74258328,0.838668452
0.73529412,0.650888015,0.76895183,0.69375454,0.852681265
0.97959184,0.785836874,0.78854636,0.74838751,0.913071863
0.65957447,0.724273503,0.755592747,0.64261094,0.554169205
0.5308642,0.616655245,0.755646424,0.58528402,0.412239532
0.31111111,0.430295348,0.776991865,0.54311455,0.42020008
0.58389262,0.448488153,0.742210356,0.52231404,0.685123369
0.38953488,0.373223373,0.677003931,0.43514217,0.403529137
0.58078603,0.430389102,1,1,0.479132038
1,0.700205377,1,1,1
1,0.896270216,1,1,1
1,1,1,1,1
1,1,1,1,0.894419069
1,1,1,1,0.830757543
1,1,1,1,0.880160128
1,1,1,0.99999821,0.89335137
1,1,1,0.99999935,0.88556572
1,0.988279208,1,0.99999885,0.880118402
1,0.94810447,1,0.99999878,0.88006722
1,0.916644115,1,0.99999652,0.882219219
1,0.896652673,0.615436448,0.61736625,0.886348898
0.63109756,0.696846427,0.602072251,0.61446551,0.60724974
0.57267951,0.534785215,0.607941634,0.59738341,0.579666292
0.62835821,0.469377414,0.605980394,0.64718403,0.62920028
0.62761506,0.448890827,0.657268301,0.64810461,0.702662624
1,0.654488496,0.756868552,0.78122554,1
0.67844523,0.655354427,0.701154472,0.66018562,0.5026095
0.60196906,0.625958568,0.679247052,0.58964784,0.301435135
0.54672897,0.582904284,0.702922622,0.54547091,0.506525073
0.48920863,0.527293978,0.718009241,0.60299632,0.650682374
0.88300598,0.696181354,0.752308174,0.61209794,0.932479178
0.41709845,0.575737599,0.680465895,0.4900944,0.198846226
0.35632184,0.453716183,1,0.95092594,0.150944852
1,0.700224672,1,0.98539517,1
1,0.87626052,1,0.99563153,1
1,0.989948547,1,0.99869194,0.891226856
1,1,1,0.99963251,0.723953061
1,1,1,0.99988347,0.929747114
1,1,1,0.99996527,0.963648865
1,1,1,0.99998868,0.94419594
1,1,1,0.99999578,0.893684594
1,0.975279121,1,0.99999837,0.853329529
1,0.944726175,1,1,0.868913627
1,0.921873866,1,0.99999887,0.881610179
1,0.907795209,0.616908774,0.62188281,0.888221469
0.61502347,0.704295233,0.598660894,0.60482185,0.581248293
0.63862928,0.580381437,0.618765638,0.6203561,0.553909738
0.5697446,0.474984736,0.603379791,0.63562332,0.608384855
0.63636364,0.457598275,0.667233255,0.68892713,0.691978598
0.634375,0.46942247,0.677114136,0.6555218,0.754170968
0.65377532,0.510630762,0.626694005,0.61167674,0.787445357
0.59892086,0.529640322,0.625940171,0.56875286,0.720623735
0.58472554,0.54804123,0.667003911,0.54030271,0.699896913
0.55271084,0.551994393,0.664047332,0.65548093,0.668504598
0.38964578,0.473746558,0.661439237,0.4333108,0.520170611
0.29256595,0.369442198,0.594209448,0.38975284,0.432109984
0.30697674,0.306039094,0.954859577,0.91871746,0.486586821
1,0.625513032,0.964729628,0.97671963,1
1,0.856644397,0.972365015,0.99335507,1
1,1,0.978346426,0.99809877,0.911361615
1,1,0.983115292,0.99945322,0.759470661
1,1,0.986744933,0.99984225,0.910452777
1,1,0.989658127,0.99995554,0.927549538
1,1,0.991908501,0.99998682,0.908134323
1,1,0.993659769,0.99999558,0.868615015
1,0.989723611,0.995112499,0.99999868,0.864549194
1,0.946573426,0.996206254,0.99999987,0.875605027
1,0.913272897,0.996982805,0.99999992,0.884764284
1,0.892019999,0.615143461,0.62508722,0.888013691
0.53448276,0.642957518,0.580544262,0.58378206,0.429224386
0.82352941,0.626720576,0.641534134,0.66498211,0.956098371
0.73796791,0.592481688,0.659181173,0.70713185,0.926555527
0.68518519,0.562584467,0.721260449,0.72076135,0.706290901
0.69098712,0.565357913,0.730028999,0.68410815,0.63883514
0.64948454,0.565121779,0.664853057,0.61650794,0.643357664
0.58431953,0.546741056,0.65336637,0.5649892,0.697515148
0.53774464,0.521510475,0.676219949,0.51893329,0.695902857
0.57777778,0.533574083,0.6819157,0.62432723,0.717388765
0.42816901,0.471405454,0.680664981,0.41713344,0.56645816
0.4738292,0.4549867,0.614915978,0.43796044,0.630860585
0.57042254,0.497620324,0.962989051,1,0.699257973
1,0.753083736,0.971197232,1,1
1,0.931775887,0.977464026,1,1
1,1,0.982440252,1,1
1,1,0.986723014,1,0.931923794
1,1,0.989390202,1,0.859459958
1,1,0.991746155,1,0.865016813
1,1,0.993558803,1,0.881807531
1,1,0.994950513,1,0.88834907
1,0.966590065,0.996006182,1,0.884905703
1,0.931271695,0.996783165,1,0.88269658
1,0.905894912,0.997446303,1,0.884462651
1,0.891942377,0.604143455,0.61318409,0.884419462
0.65536723,0.711313503,0.612754249,0.65193996,0.646593401
0.62113402,0.575857528,0.619813287,0.62220486,0.618986415
0.74796748,0.56397838,0.64461845,0.69190022,0.697279571
0.53875969,0.470605862,0.676031244,0.66585476,0.629852261
0.57383966,0.444604832,0.667148385,0.62851965,0.638601825
0.59099437,0.45799946,0.603791364,0.58023379,0.676889176
0.51515152,0.448405573,0.587189223,0.53270142,0.656201806
0.41500586,0.405338903,0.637924796,0.48308366,0.559279024
0.54455987,0.454011034,0.647061147,0.57927011,0.62961201
0.4387839,0.443467741,0.645583965,0.42690577,0.592895433
0.30295567,0.370093055,0.57009901,0.40103646,0.455946521
0.21839081,0.277055399,0.93542163,0.90033376,0.378689975
1,0.618449274,0.950098707,0.97092098,1
1,0.864388335,0.961416666,0.99152103,1
1,1,0.970302235,0.99748363,0.882629439
1,1,0.977402505,0.9992535,0.738632835
1,1,0.98169795,0.99973585,0.938846278
1,1,0.988627704,0.99985531,0.972906343
1,1,0.992241009,0.99995593,0.951604536
1,1,0.994038375,0.99998862,0.895570396
1,0.986395816,0.994521946,0.99999752,0.850677191
1,0.939610109,0.995381272,0.99999992,0.867764478
1,0.904225669,0.996301019,0.99999932,0.881188416
1,0.8825759,0.608822201,0.61814477,0.887683353
0.53258427,0.63221071,0.594133096,0.61078573,0.423288774
0.54288241,0.472859937,0.57845184,0.60187082,0.425299893
0.57189543,0.399951518,0.564235967,0.60608242,0.607915667
0.57057057,0.378069362,0.617618302,0.64466743,0.74310528
0.55555556,0.385492144,0.620620999,0.61507166,0.69247668
0.57596567,0.428913188,0.563214273,0.56280446,0.679975495
0.59158633,0.489810811,0.578353769,0.53596312,0.698347097
0.52067039,0.509877368,0.617029632,0.52732677,0.640382604
0.46396396,0.500971764,0.649549164,0.54510404,0.594265446
0.45921697,0.494013283,0.648359515,0.41042667,0.590912299
0.41108179,0.462868735,0.574531077,0.41030139,0.546071004
0.33553719,0.398565346,0.938721493,0.95987025,0.482162453
1,0.697211443,0.952204189,0.98596508,1
1,0.905218336,0.962673897,0.99506799,1
1,1,0.971246217,0.99820644,0.874340643
1,1,0.978944956,0.99934653,0.764528444
1,1,0.983242557,0.99980442,0.889093921
1,1,0.987174637,0.99994618,0.916376221
1,1,0.991203884,0.99998592,0.905331301
1,1,0.991508983,0.99999469,0.871234557
1,0.965179526,0.992594599,0.99999789,0.8708392
1,0.928150358,0.994163284,0.99999991,0.877279258
1,0.90216848,0.995238299,0.99999959,0.883220792
1,0.888439025,0.59885687,0.60796663,0.886771611
0.57904007,0.668050585,0.601422554,0.61724829,0.515558794
0.57519495,0.521407642,0.594820601,0.61473586,0.480473595
0.58675987,0.445349458,0.572621191,0.61189344,0.560318425
0.61041667,0.430404552,0.631637024,0.64874771,0.662552187
0.61368653,0.448752852,0.652785691,0.63334599,0.73872962
0.59349112,0.475171281,0.592372546,0.58001967,0.729904754
0.58369906,0.507260747,0.600213414,0.53572896,0.703055019
0.5652968,0.532923219,0.645914688,0.5324141,0.68039578
0.56752712,0.559102374,0.662679032,0.56837241,0.689704047
0.56130199,0.576355716,0.640573668,0.452579,0.687516886
0.63318777,0.623892308,0.559117764,0.48078072,0.723074424
0.06229144,0.354078509,0.929196194,0.91834325,0
1,0.646101462,0.943905414,0.97101214,1
1,0.853783573,0.955481163,0.98948608,1
1,0.98792538,0.965122234,0.99609206,0.952244936
1,1,0.973871304,0.99856296,0.813450055
1,1,0.978010404,0.9994097,0.892210536
1,1,0.981460196,0.99974428,0.919912489
1,1,0.985126863,0.99990182,0.906874351
1,1,0.988101092,0.99996196,0.872329872
1,0.978153527,0.990488269,0.99998564,0.866914947
1,0.94330228,0.992640102,0.99999458,0.875986276
1,0.917050155,0.994539448,0.99999925,0.883251775
1,0.901339549,0.604858525,0.6044837,0.88770143
0.62068966,0.699369377,0.615474858,0.62364511,0.589402385
1,0.76249172,0.690322579,0.73304066,1
0.90384615,0.774415265,0.723593207,0.74630153,1
1,0.846195795,0.851919572,0.80574805,0.920710398
0.93220339,0.872521435,0.902021624,0.77982611,0.823433347
0.65957447,0.754613882,0.786397339,0.65163102,0.705971503
0.60759494,0.647806094,0.746523598,0.56922212,0.71576208
0.73846154,0.647258648,0.802898317,0.59761456,0.748164234
0.51322751,0.53978712,0.762392188,0.56988861,0.610474105
0.56018519,0.496830318,0.714924378,0.47516118,0.639613829
0.57272727,0.484545047,0.585737561,0.4041701,0.689395888
0.9496124,0.682731612,1,1,1
1,0.858138091,1,1,1
1,0.978829204,1,1,1
1,1,1,1,0.925294602
1,1,1,1,0.858658191
1,1,1,1,0.859622432
1,1,1,1,0.877694612
1,1,1,1,0.88654981
1,0.996256395,1,1,0.885074594
1,0.961779873,1,1,0.883028552
1,0.933224533,1,1,0.883103157
1,0.912984989,1,1,0.88367144
1,0.902005447,0.607090281,0.6055459,0.885623641
0.82478633,0.809581769,0.67914645,0.72777719,0.862522245
0.94366197,0.81324699,0.738394378,0.76339075,0.838965543
0.77880184,0.742226138,0.725237055,0.74451884,0.820855139
0.75806452,0.692452081,0.781967346,0.7391635,0.811042371
0.97777778,0.784055085,0.848943421,0.74958426,0.887008139
0.82312925,0.781604874,0.793509183,0.69174256,0.876929194
0.66184075,0.702853761,0.767735393,0.62579494,0.688299548
0.63636364,0.639159511,0.782461428,0.57210226,0.667528614
0.13636364,0.342953493,0.811976495,0.45437223,0.018501884
0.06026558,0.103450544,0.816791406,0.29467177,0.014181214
0.57798165,0.224951351,0.682876241,0.41945826,1
1,0.554480924,1,1,1
1,0.807448065,1,1,1
1,0.985412769,1,1,0.82615247
1,1,1,1,0.838547072
1,1,1,1,0.924008981
1,1,1,1,0.929145912
1,1,1,1,0.898629725
1,1,1,1,0.858327968
1,1,1,1,0.866609892
1,0.976054074,1,1,0.877855391
1,0.931334876,1,0.99999986,0.885580971
1,0.898296795,1,0.99999975,0.885607727
0.98076923,0.868802571,0.612195828,0.62940033,0.863133957
0.84257206,0.784695044,0.690698868,0.76800039,0.838869571
0.72277228,0.674844613,0.6921067,0.69909246,0.804749692
0.72277228,0.612693404,0.673624452,0.70689852,0.797364385
0.7318612,0.593224507,0.737087314,0.74820143,0.7984748
0.78884462,0.629597864,0.762959012,0.69154298,0.800560872
0.78918919,0.674197009,0.716590168,0.65079948,0.80269923
0.85645933,0.753868682,0.755086235,0.66895152,0.803657793
0.87222222,0.825506392,0.831074922,0.58998742,0.803970365
0.42446043,0.644481193,0.865442674,0.49783947,0.328250005
0.72469636,0.667474294,0.829034461,0.56976475,0.869178555
