truth_values,gaussian,adarel,sarima,rf
1,0.999963292,0.999977306,0.999977312,0.999982649
1,0.999963428,0.999977306,0.999977312,0.999976866
1,0.999963566,0.999977306,0.999977312,0.999975444
1,0.999963704,0.999977306,0.999977312,0.999978624
1,0.99996384,0.999977306,0.999977312,0.999978631
1,0.999963979,0.999977306,0.999977312,0.999974744
1,0.999964114,0.999977306,0.999977312,0.999974305
1,0.999964251,0.999977306,0.999977312,0.999976713
1,0.999964388,0.999977306,0.999977312,0.999975241
1,0.999964525,0.999977306,0.999977312,0.999977171
1,0.999964661,0.999977306,0.999977312,0.999979359
1,0.999964798,0.999977306,0.999977312,0.999978228
1,0.999964936,0.999977306,0.999977312,0.999973681
1,0.999965073,0.999977306,0.999977312,0.99998063
1,0.999965208,0.999977306,0.999977312,0.99997784
1,0.999965347,0.999977306,0.999977312,0.999974648
1,0.999965484,0.999977306,0.999977312,0.999976878
1,0.999965619,0.999977306,0.999977312,0.999977357
1,0.999965757,0.999977306,0.999977312,0.99997565
1,0.999965892,0.999977306,0.999977312,0.999973483
1,0.99996603,0.999977306,0.999977312,0.999974618
1,0.999966167,0.999977306,0.999977312,0.999977697
1,0.999966303,0.999977306,0.999977312,0.999978517
1,0.99996644,0.999977306,0.999977312,0.99997741
1,0.999966576,0.999977306,0.999977312,0.999979766
1,0.999966713,0.999977306,0.999977312,0.99997693
1,0.999966851,0.999977306,0.999977312,0.999976474
1,0.999966987,0.999977306,0.999977312,0.999977924
1,0.999967123,0.999977306,0.999977312,0.999971761
1,0.999967259,0.999977306,0.999977312,0.99997743
1,0.999967396,0.999977306,0.999977312,0.999976648
1,0.999967532,0.999977306,0.999977312,0.999981468
1,0.999967669,0.999977306,0.999977312,0.999979777
1,0.999967805,0.999977306,0.999977312,0.999976114
1,0.999967942,0.999977306,0.999977312,0.999972652
1,0.999968078,0.999977306,0.999977312,0.999976258
1,0.999968213,0.999977306,0.999977312,0.999975171
1,0.999968351,0.999977306,0.999977312,0.999980235
1,0.999968486,0.999977306,0.999977312,0.999980435
1,0.999968625,0.999977306,0.999977312,0.999979439
1,0.99996876,0.999977306,0.999977312,0.999975432
1,0.999968896,0.999977306,0.999977312,0.999978374
1,0.999969033,0.999977306,0.999977312,0.999979177
1,0.999969168,0.999977306,0.999977312,0.999979365
1,0.999969305,0.999977306,0.999977312,0.999976924
1,0.999969442,0.999977306,0.999977312,0.99997877
1,0.999969578,0.999977306,0.999977312,0.999980565
1,0.999969714,0.999977306,0.999977312,0.999979523
1,0.999969851,0.999977306,0.999977312,0.999978273
1,0.999969986,0.999977306,0.999977312,0.999976514
1,0.999970123,0.999977306,0.999977312,0.999976086
1,0.999970258,0.999977306,0.999977312,0.999979928
1,0.999970394,0.999977306,0.999977312,0.999978134
1,0.999970531,0.999977306,0.999977312,0.999977855
1,0.999970666,0.999977306,0.999977312,0.999976432
1,0.999970803,0.999977306,0.999977312,0.99997667
1,0.99997094,0.999977306,0.999977312,0.999976452
1,0.999971075,0.999977306,0.999977312,0.999973516
1,0.999971212,0.999977306,0.999977312,0.999979344
1,0.999971346,0.999977306,0.999977312,0.999976047
1,0.999971483,0.999977306,0.999977312,0.99997845
1,0.999971619,0.999977306,0.999977312,0.999979611
1,0.999971756,0.999977306,0.999977312,0.999975519
1,0.99997189,0.999977306,0.999977312,0.999976967
1,0.999972026,0.999977306,0.999977312,0.999978082
1,0.999972162,0.999977306,0.999977312,0.999975223
1,0.999972298,0.999977306,0.999977312,0.999977061
1,0.999972434,0.999977306,0.999977312,0.99997622
1,0.999972569,0.999977306,0.999977312,0.999975109
1,0.999972704,0.999977306,0.999977312,0.999977765
1,0.999972841,0.999977306,0.999977312,0.999978519
1,0.999972977,0.999977306,0.999977312,0.999981541
1,0.999973114,0.999977306,0.999977312,0.999979232
1,0.99997325,0.999977306,0.999977312,0.999975679
1,0.999973385,0.999977306,0.999977312,0.999979177
1,0.99997352,0.999977306,0.999977312,0.999979611
1,0.999973655,0.999977306,0.999977312,0.999977907
1,0.999973791,0.999977306,0.999977312,0.999977198
1,0.999973926,0.999977306,0.999977312,0.999980202
1,0.999974062,0.999977306,0.999977312,0.999976475
1,0.999974199,0.999977306,0.999977312,0.999977558
1,0.999974333,0.999977306,0.999977312,0.999982131
1,0.99997447,0.999977306,0.999977312,0.999981347
1,0.999974603,0.999977306,0.999977312,0.999975981
1,0.999974741,0.999977306,0.999977312,0.999979306
1,0.999974876,0.999977306,0.999977312,0.999981478
1,0.999975011,0.999977306,0.999977312,0.999979255
1,0.999975147,0.999977306,0.999977312,0.999974653
1,0.99997528,0.999977306,0.999977312,0.999978481
1,0.999975417,0.999977306,0.999977312,0.999975972
1,0.999975552,0.999977306,0.999977312,0.999978082
1,0.999975688,0.999977306,0.999977312,0.999974763
1,0.999975823,0.999977306,0.999977312,0.999977587
1,0.999975959,0.999977306,0.999977312,0.999974331
1,0.999976095,0.999977306,0.999977312,0.999978077
1,0.999976229,0.999977306,0.999977312,0.999975879
1,0.999976365,0.999977306,0.999977312,0.999979065
1,0.9999765,0.999977306,0.999977312,0.99997617
1,0.999976636,0.999977306,0.999977312,0.999972378
1,0.999976771,0.999977306,0.999977312,0.999975528
1,0.999976906,0.999977306,0.999977312,0.999977123
1,0.99997704,0.999977306,0.999977312,0.999976923
1,0.999977176,0.999977306,0.999977312,0.999979933
1,0.999977312,0.999977306,0.999977312,0.99997318
1,0.999977446,0.999977306,0.999977312,0.999977165
1,0.999977582,0.999977306,0.999977312,0.999978085
1,0.999977716,0.999977306,0.999977312,0.999979424
1,0.999977852,0.999977306,0.999977312,0.999978112
1,0.999977987,0.999977306,0.999977312,0.999980291
1,0.999978122,0.999977306,0.999977312,0.999977004
1,0.999978257,0.999977306,0.999977312,0.999976103
1,0.999978392,0.999977306,0.999977312,0.999977013
1,0.999978526,0.999977306,0.999977312,0.999977862
1,0.999978661,0.999977306,0.999977312,0.999978148
1,0.999978796,0.999977306,0.999977312,0.999978067
1,0.999978931,0.999977306,0.999977312,0.999978424
1,0.999979066,0.999977306,0.999977312,0.999980381
1,0.999979201,0.999977306,0.999977312,0.999979547
1,0.999979336,0.999977306,0.999977312,0.999973135
1,0.999979472,0.999977306,0.999977312,0.99997353
1,0.999979607,0.999977306,0.999977312,0.999975033
1,0.999979741,0.999977306,0.999977312,0.999977716
1,0.999979875,0.999977306,0.999977312,0.999978474
1,0.999980009,0.999977306,0.999977312,0.999977039
1,0.999980145,0.999977306,0.999977312,0.999976607
1,0.99998028,0.999977306,0.999977312,0.999978469
1,0.999980415,0.999977306,0.999977312,0.999977563
1,0.999980548,0.999977306,0.999977312,0.999980516
1,0.999980684,0.999977306,0.999977312,0.999975568
1,0.999980818,0.999977306,0.999977312,0.999978625
1,0.999980954,0.999977306,0.999977312,0.999978841
1,0.999981088,0.999977306,0.999977312,0.999978137
1,0.999981222,0.999977306,0.999977312,0.99997497
1,0.999981356,0.999977306,0.999977312,0.999979127
1,0.999981491,0.999977306,0.999977312,0.999972293
1,0.999981625,0.999977306,0.999977312,0.999976075
1,0.999981761,0.999977306,0.999977312,0.999974406
1,0.999981896,0.999977306,0.999977312,0.999975349
1,0.999982029,0.999977306,0.999977312,0.999976877
1,0.999982164,0.999977306,0.999977312,0.999977903
1,0.999982298,0.999977306,0.999977312,0.999975178
1,0.999982432,0.999977306,0.999977312,0.999976695
1,0.999982567,0.999977306,0.999977312,0.999976748
1,0.999982703,0.999977306,0.999977312,0.999980855
1,0.999982836,0.999977306,0.999977312,0.999976249
