timestamp,true value
2019-08-14T20:00:00.000Z,1.0
2019-08-14T21:00:00.000Z,1.0
2019-08-14T22:00:00.000Z,1.0
2019-08-14T23:00:00.000Z,1.0
2019-08-15T00:00:00.000Z,1.0
2019-08-15T01:00:00.000Z,1.0
2019-08-15T02:00:00.000Z,1.0
2019-08-15T03:00:00.000Z,1.0
2019-08-15T04:00:00.000Z,1.0
2019-08-15T05:00:00.000Z,1.0
2019-08-15T06:00:00.000Z,1.0
2019-08-15T07:00:00.000Z,1.0
2019-08-15T08:00:00.000Z,1.0
2019-08-15T09:00:00.000Z,1.0
2019-08-15T10:00:00.000Z,1.0
2019-08-15T11:00:00.000Z,1.0
2019-08-15T12:00:00.000Z,1.0
2019-08-15T13:00:00.000Z,1.0
2019-08-15T14:00:00.000Z,1.0
2019-08-15T15:00:00.000Z,1.0
2019-08-15T16:00:00.000Z,1.0
2019-08-15T17:00:00.000Z,1.0
2019-08-15T18:00:00.000Z,1.0
2019-08-15T19:00:00.000Z,1.0
2019-08-15T20:00:00.000Z,1.0
2019-08-15T21:00:00.000Z,1.0
2019-08-15T22:00:00.000Z,1.0
2019-08-15T23:00:00.000Z,1.0
2019-08-16T00:00:00.000Z,1.0
2019-08-16T01:00:00.000Z,1.0
2019-08-16T02:00:00.000Z,1.0
2019-08-16T03:00:00.000Z,1.0
2019-08-16T04:00:00.000Z,1.0
2019-08-16T05:00:00.000Z,1.0
2019-08-16T06:00:00.000Z,1.0
2019-08-16T07:00:00.000Z,1.0
2019-08-16T08:00:00.000Z,1.0
2019-08-16T09:00:00.000Z,1.0
2019-08-16T10:00:00.000Z,1.0
2019-08-16T11:00:00.000Z,1.0
2019-08-16T12:00:00.000Z,1.0
2019-08-16T13:00:00.000Z,1.0
2019-08-16T14:00:00.000Z,1.0
2019-08-16T15:00:00.000Z,1.0
2019-08-16T16:00:00.000Z,1.0
2019-08-16T17:00:00.000Z,1.0
2019-08-16T18:00:00.000Z,1.0
2019-08-16T19:00:00.000Z,1.0
2019-08-16T20:00:00.000Z,1.0
2019-08-16T21:00:00.000Z,1.0
2019-08-16T22:00:00.000Z,1.0
2019-08-16T23:00:00.000Z,1.0
2019-08-17T00:00:00.000Z,1.0
2019-08-17T01:00:00.000Z,1.0
2019-08-17T02:00:00.000Z,1.0
2019-08-17T03:00:00.000Z,1.0
2019-08-17T04:00:00.000Z,1.0
2019-08-17T05:00:00.000Z,1.0
2019-08-17T06:00:00.000Z,1.0
2019-08-17T07:00:00.000Z,1.0
2019-08-17T08:00:00.000Z,1.0
2019-08-17T09:00:00.000Z,1.0
2019-08-17T10:00:00.000Z,1.0
2019-08-17T11:00:00.000Z,1.0
2019-08-17T12:00:00.000Z,1.0
