,timestamp,true value,ses,arima,svr,nn,rf,gpr,prophet,silverkite,adarel
1037,2/23/17 13:00,0.985234161,0.941847098,0.976710041,0.988308483,0.983306312,0.980434868,0.936369155,0.988068858,0.973607192,0.942531489
1038,2/23/17 14:00,0.988153609,0.963190405,0.976698203,0.98832409,0.984019384,0.980504855,0.944042763,0.987070846,0.972788364,0.963583382
1039,2/23/17 15:00,0.989957493,0.978577094,0.976687243,0.988297531,0.982457927,0.980669347,0.951710099,0.990445901,0.974114201,0.978764736
1040,2/23/17 16:00,0.986935576,0.984652597,0.976972763,0.988008059,0.966488969,0.980661999,0.959308912,0.996236495,0.974999071,0.984735026
1041,2/23/17 17:00,0.954661909,0.985901401,0.97698568,0.987885291,0.957524901,0.980627117,0.965349833,1,0.975941577,0.985948906
1042,2/23/17 18:00,0.940904581,0.968863694,0.976946102,0.987522667,0.936176697,0.98054225,0.964644126,1,0.976779794,0.968853329
1043,2/23/17 19:00,0.900583526,0.953593013,0.976891875,0.987550637,0.931710426,0.980519486,0.961341621,1,0.977472543,0.953568753
1044,2/23/17 20:00,0.903479206,0.924436959,0.976795599,0.98767778,0.939986912,0.980237364,0.950794572,1,0.977423325,0.924379858
1045,2/23/17 21:00,0.91889695,0.912814763,0.976707466,0.987940792,0.961315932,0.979522974,0.941801449,1,0.977519761,0.912783773
1046,2/23/17 22:00,0.949166149,0.916182134,0.976629594,0.987615327,0.944739018,0.980212685,0.936489665,1,0.977627689,0.916158847
1047,2/23/17 23:00,0.913142983,0.934329756,0.976607128,0.988091053,0.968925478,0.980128409,0.937251368,1,0.977735703,0.934347934
1048,2/24/17 0:00,0.965936269,0.922679747,0.976544375,0.988310648,0.983432956,0.980230876,0.931356601,1,0.978932248,0.922671767
1049,2/24/17 1:00,0.990198956,0.946411903,0.976517461,0.988308199,0.984167517,0.980181708,0.935716537,1,0.97811383,0.946474472
1050,2/24/17 2:00,0.99001803,0.97061505,0.976513477,0.988149243,0.974111204,0.980158,0.944165988,1,0.978374563,0.970698674
1051,2/24/17 3:00,0.972294653,0.981411495,0.976548044,0.988262928,0.981278544,0.980250429,0.95186147,1,0.979794815,0.981450798
1052,2/24/17 4:00,0.984937847,0.976360523,0.976528708,0.988260132,0.981754115,0.980047283,0.955546454,1,0.979202173,0.976369332
1053,2/24/17 5:00,0.984580637,0.98110751,0.9765425,0.98799873,0.964826521,0.980192598,0.961198168,0.999630037,0.979177291,0.981125731
1054,2/24/17 6:00,0.956029616,0.98303096,0.976542214,0.98792078,0.959524511,0.98022449,0.966188163,0.990468314,0.978937982,0.983038288
1055,2/24/17 7:00,0.947505212,0.968095164,0.97651024,0.987698994,0.976042852,0.979179713,0.965330409,0.985502016,0.976582747,0.968079068
1056,2/24/17 8:00,0.923380258,0.95668774,0.976470873,0.988122576,0.972339392,0.980166003,0.962881768,0.965578219,0.976623055,0.956646189
1057,2/24/17 9:00,0.969502242,0.938179941,0.976417244,0.987317336,0.929258069,0.98005877,0.956136497,0.988822023,0.978266998,0.938131025
1058,2/24/17 10:00,0.882576423,0.955551733,0.976409611,0.988099306,0.970877008,0.97991511,0.958433917,0.99250225,0.978578592,0.955564786
1059,2/24/17 11:00,0.966933566,0.915257608,0.976313848,0.988118959,0.972449571,0.9799892,0.944486987,0.995405773,0.979638619,0.921312794
1060,2/24/17 12:00,0.968963514,0.94367729,0.976304029,0.98829402,0.982685579,0.98005844,0.94727653,0.9931843,0.978883598,0.946510911
1061,2/24/17 13:00,0.98761301,0.957515995,0.976292305,0.988282121,0.976367624,0.979760519,0.95016546,0.987058977,0.978337081,0.958866407
